2026-07-31T05:46:16Z,0, 91259, 6032, 0, 83.43|1, 91259, 6032, 0, 79.88|2, 91259, 6032, 0, 81.98|3, 91259, 6032, 0, 83.94
2026-07-31T05:46:17Z,0, 91549, 5742, 0, 85.53|1, 91549, 5742, 0, 82.18|2, 91549, 5742, 0, 82.49|3, 91549, 5742, 0, 84.33
2026-07-31T05:46:18Z,0, 91909, 5382, 100, 279.43|1, 91929, 5362, 100, 248.00|2, 91969, 5322, 100, 246.88|3, 91969, 5322, 100, 291.30
2026-07-31T05:46:19Z,0, 92769, 4522, 100, 409.19|1, 92769, 4522, 37, 372.21|2, 92769, 4522, 100, 365.68|3, 92769, 4522, 100, 368.57
2026-07-31T05:46:20Z,0, 92769, 4522, 0, 95.68|1, 92769, 4522, 0, 89.84|2, 92769, 4522, 0, 92.78|3, 92769, 4522, 0, 94.79
2026-07-31T05:46:22Z,0, 92769, 4522, 0, 84.43|1, 92769, 4522, 0, 81.04|2, 92769, 4522, 0, 82.46|3, 92769, 4522, 0, 84.68
2026-07-31T05:46:23Z,0, 92769, 4522, 0, 83.76|1, 92769, 4522, 0, 79.88|2, 92769, 4522, 0, 81.49|3, 92769, 4522, 0, 84.03
2026-07-31T05:46:24Z,0, 92769, 4522, 88, 98.05|1, 92769, 4522, 96, 99.81|2, 92769, 4522, 100, 146.37|3, 92769, 4522, 100, 150.17
2026-07-31T05:46:25Z,0, 92829, 4462, 100, 435.83|1, 92829, 4462, 100, 401.63|2, 92829, 4462, 100, 404.96|3, 92829, 4462, 100, 418.88
2026-07-31T05:46:26Z,0, 92829, 4462, 0, 110.66|1, 92829, 4462, 0, 108.85|2, 92829, 4462, 0, 121.85|3, 92829, 4462, 0, 108.43
2026-07-31T05:46:27Z,0, 92829, 4462, 0, 84.15|1, 92829, 4462, 0, 80.76|2, 92829, 4462, 0, 82.28|3, 92829, 4462, 0, 84.86
2026-07-31T05:46:28Z,0, 92829, 4462, 0, 83.31|1, 92829, 4462, 0, 79.88|2, 92829, 4462, 0, 81.59|3, 92829, 4462, 0, 84.20
2026-07-31T05:46:29Z,0, 92829, 4462, 0, 83.76|1, 92829, 4462, 0, 79.88|2, 92829, 4462, 0, 82.06|3, 92829, 4462, 0, 83.75
2026-07-31T05:46:31Z,0, 92831, 4460, 100, 149.06|1, 92831, 4460, 100, 143.34|2, 92831, 4460, 100, 170.37|3, 92831, 4460, 100, 173.97
2026-07-31T05:46:32Z,0, 92891, 4400, 100, 421.48|1, 92891, 4400, 100, 375.90|2, 92891, 4400, 100, 385.48|3, 92891, 4400, 100, 407.33
2026-07-31T05:46:33Z,0, 92891, 4400, 100, 338.22|1, 92891, 4400, 100, 317.61|2, 92891, 4400, 100, 330.95|3, 92891, 4400, 100, 338.16
2026-07-31T05:46:34Z,0, 92891, 4400, 100, 430.88|1, 92891, 4400, 100, 371.79|2, 92891, 4400, 100, 380.05|3, 92891, 4400, 100, 380.93
2026-07-31T05:46:35Z,0, 92891, 4400, 100, 414.75|1, 92891, 4400, 100, 361.10|2, 92891, 4400, 100, 366.46|3, 92891, 4400, 100, 396.83
2026-07-31T05:46:36Z,0, 92911, 4380, 100, 354.09|1, 92911, 4380, 100, 308.45|2, 92911, 4380, 100, 330.83|3, 92911, 4380, 100, 340.79
2026-07-31T05:46:38Z,0, 92911, 4380, 100, 438.43|1, 92911, 4380, 100, 407.14|2, 92911, 4380, 100, 409.39|3, 92911, 4380, 100, 390.26
2026-07-31T05:46:39Z,0, 92911, 4380, 100, 185.94|1, 92911, 4380, 100, 167.38|2, 92911, 4380, 100, 169.06|3, 92911, 4380, 100, 178.14
2026-07-31T05:46:40Z,0, 92911, 4380, 100, 269.36|1, 92911, 4380, 100, 253.27|2, 92911, 4380, 100, 243.74|3, 92911, 4380, 100, 266.35
2026-07-31T05:46:41Z,0, 92911, 4380, 100, 427.81|1, 92911, 4380, 100, 379.08|2, 92911, 4380, 100, 375.06|3, 92911, 4380, 100, 401.46
2026-07-31T05:46:42Z,0, 92911, 4380, 95, 216.64|1, 92911, 4380, 95, 199.70|2, 92911, 4380, 95, 190.63|3, 92911, 4380, 95, 208.50
2026-07-31T05:46:43Z,0, 92911, 4380, 100, 431.44|1, 92911, 4380, 100, 405.24|2, 92911, 4380, 100, 402.76|3, 92911, 4380, 100, 420.07
2026-07-31T05:46:44Z,0, 92911, 4380, 100, 191.97|1, 92911, 4380, 100, 181.71|2, 92911, 4380, 100, 182.81|3, 92911, 4380, 100, 214.00
